Address,Allocation %,Type
0xdcedf06fd33e1d7b6eb4b309f779a0e9d3172e44,0.1,Developer
0x34fc4134dc4956955164d8f7ec08d0f78955ac00,0.1598777959412844,Bridger & Voter & Token Holder
0x93dd5d77e20844fcfd3e7a57542205241de302d0,0.05255259285141925,Token Holder
0x4dabe297e1e507d316b47fa54dbc188defd07db0,0.045870838891702875,Bridger & Voter & Token Holder
0x99f6181d5f192fd06c4715b8cb736996b583fd7d,0.04538845226095535,Token Holder
0x8a5658c67c5a28885e8dac103b3400b186025e93,0.04374113502113584,Token Holder
0xd21a12b3fb7e8c622de672e2647627393cd530d4,0.03638085469260597,Bridger & Token Holder
0xb57d6e248f0cc14b90659efea2931497df3eae89,0.0273637356817452,Voter & Token Holder
0x8bc60aeab709528b485c0a15c0d9f2ba03db29f2,0.02600509357578432,Token Holder
0x7ed2ac5ec75f6ec6e1211217f8c99070cb41d139,0.020236574723764097,Token Holder
0x0783abc1e6f1eb93b80024a056492e314d949986,0.020172876291564272,Bridger & Token Holder
0x8771ac12777b4cdefefe53f259f73065f7d74518,0.019602524385599885,Bridger & Voter & Token Holder
0xc4f6a96846fcc8e773158e34d166a40b3bc19898,0.018864229032003303,Bridger & Voter & Token Holder
0xa80fa66f66e7eddfefa0a617b49f43dd713fd086,0.017655977281870076,Voter & Token Holder
0xd328097602b9cef563a294eb940f6f9f781a2e0f,0.017587502104793304,Bridger & Voter & Token Holder
0x156365f6f3f7cba66a5a93ed72d34c6e91d7e128,0.013987038347520723,Token Holder
0x73f2ee05e02c972a23222e60bd08ed66dc89d7a5,0.012755572028646191,Token Holder
0x96ca8e38d6774e1324bfa1e5681d2bda5c84ce6b,0.011943771102595284,Token Holder
0xcf462c1b0a635173c8ba568cd011bd38d5d0ad4a,0.009779063267945485,Bridger & Voter & Token Holder
0xcfed01b111deaca96d9595f9530fff2722e77e43,0.0071146377892863984,Bridger & Voter & Token Holder
0xfed8f7b89db158d2c092744ee73a6e8a814a9f04,0.006362909350947001,Token Holder
0x7c1908d49266ba2999c41b07b0895c33821f53a9,0.005764757086118827,Token Holder
0x54692cb1cb4f48db074b9fd691c2b44267194184,0.0056013042318080715,Token Holder
0x5bd5ac056b811ecffb80ff1800282c5b719a0095,0.005336720047718076,Token Holder
0x515bf062e976fc498c09cbea649c752bb3e5bb3a,0.005322679320503559,Token Holder
0x04cc7fc4183ff221f50e3b86cb6b5481e5618daa,0.00492461399502678,Token Holder
0x9cbc04de5c29fd0b986fedcfd66d19f3d8d6bcf7,0.004658106273258827,Token Holder
0xadbb744a9434aad006772cf76e79d246c4506d1b,0.004521991226316911,Token Holder
0xb0705001a29d78777213ee4668d778fb5b48bd29,0.0042733490468819905,Token Holder
0x7f7d208e6b7729fcad70253919b7bbe3c302ad4f,0.003844690324164931,Bridger & Token Holder
0xc47919bbf3276a416ec34ffe097de3c1d0b7f1cd,0.002969313039133125,Token Holder
0x3edf64e426463c0f5798f211f6cb05662148705c,0.002960658732559657,Token Holder
0x1dac32947cd796b4203f69a5a6748e6775d92800,0.0026747784860608765,Token Holder
0x468190a410f8453311a85c442b9455b76671323d,0.0025321333065769667,Token Holder
0x5d0ac389c669d6efe3ba96b9878d8156f180c539,0.0024365901977629633,Token Holder
0xa7b169dfb74e7d0abb3789d9d7906f86e75a9fac,0.0023671670430338563,Token Holder
0x53c6e02083ee6210e53fc64002bb86f8e7f043a8,0.0023097342309042865,Token Holder
0x3e2681e79877bdbcee74be466615d5107fe49026,0.002303132354403945,Token Holder
0x44afccf712e8a097a6727b48b57c75d7a85a9b0c,0.0022952325848820477,Token Holder
0xf0dcc007473df783140449c6b0eb4d8d358b0182,0.0022069891109879527,Token Holder
0xdd168e2d873fc83842f8a5d0ff998846b341045b,0.002172494761855318,Token Holder
0xef29613b1200d882d00d89ff6fd179497e50c9d4,0.0021470763503948797,Token Holder
0x96ea6c538f76694ed18989a44b39af868da2351a,0.0020700022008524567,Bridger & Voter & Token Holder
